id,title,fileName,createdAt,updatedAt
28,11월1주차한주의우승자결승,Gen9NationalDexAG-2023-11-02-orblich155-tnddl6974vispix1698931493846.ejs,"2023-11-02 13:24:53","2023-11-02 13:24:53"
29,11월2주차한주의우승자결승,Gen9NationalDexAG-2023-11-09-dhwna-xerneas9050vispix1699537124151.ejs,"2023-11-09 13:38:44","2023-11-09 13:38:44"
30,고아vs오줌탈갤빵,Gen9NationalDexAG-2023-11-13-exqtickai-nnaavveerrvispix1699882974480.ejs,"2023-11-13 13:42:54","2023-11-13 13:42:54"
31,11월3주차한주의우승자결승,Gen9NationalDexAG-2023-11-16-tnddl6974-buzesilhvispix1700141465699.ejs,"2023-11-16 13:31:05","2023-11-16 13:31:05"
32,11월4주차한주의우승자결승,Gen9NationalDexAG-2023-11-23-orblich155-xerneas9050vispix1700746458725.ejs,"2023-11-23 13:34:18","2023-11-23 13:34:18"
33,11월한달의우승자결승,Gen9NationalDexAG-2023-11-23-dhwna-tnddl6974vispix1700747752040.ejs,"2023-11-23 13:55:52","2023-11-23 13:55:52"
34,11월5주차한주의우승자결승,Gen9NationalDexAG-2023-11-30-orblich155-exqtickaivispix1701351079716.ejs,"2023-11-30 13:31:19","2023-11-30 13:31:19"
35,메침붕레전드,Gen9NationalDexAG-2023-12-06-snommmm-quokkadayovispix1701855313543.ejs,"2023-12-06 09:35:13","2023-12-06 09:35:13"
36,12월1주차한주의우승자결승,Gen9NationalDexAG-2023-12-07-xerneas9050-nobaaksavispix1701955593575.ejs,"2023-12-07 13:26:33","2023-12-07 13:26:33"
37,올리르바_활약상,Gen9NationalDexAG-2023-12-07-buzesilh-xerneas9050vispix1701956644263.ejs,"2023-12-07 13:44:04","2023-12-07 13:44:04"
39,껍질몬을죽이는방법,Gen9NationalDexAG-2023-12-10-nonke-dhwnavispix1702269769336.ejs,"2023-12-11 04:42:49","2023-12-11 04:42:49"
